32648;Jawa Timur;Kabupaten Malang;Pakis;Ampeldento;65154;33000;TVhHMjAzMTU=;PAKIS,KEPANJEN
32649;Jawa Timur;Kabupaten Malang;Pakis;Asrikaton;65154;33000;TVhHMjAzMTU=;PAKIS,KEPANJEN
32650;Jawa Timur;Kabupaten Malang;Pakis;Banjarrejo;65154;33000;TVhHMjAzMTU=;PAKIS,KEPANJEN
32651;Jawa Tengah;Kabupaten Magelang;Pakis;Banyusidi;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32652;Jawa Tengah;Kabupaten Magelang;Pakis;Bawang;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32653;Jawa Timur;Kabupaten Malang;Pakis;Bunutwetan;65154;33000;TVhHMjAzMTU=;PAKIS,KEPANJEN
32654;Jawa Tengah;Kabupaten Magelang;Pakis;Daleman Kidul;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32655;Jawa Tengah;Kabupaten Magelang;Pakis;Daseh;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32656;Jawa Tengah;Kabupaten Magelang;Pakis;Gejagan;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32657;Jawa Tengah;Kabupaten Magelang;Pakis;Gondangsari;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32658;Jawa Tengah;Kabupaten Magelang;Pakis;Gumelem;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32659;Jawa Tengah;Kabupaten Magelang;Pakis;Jambewangi;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32660;Jawa Tengah;Kabupaten Magelang;Pakis;Kajangkoso;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32661;Jawa Tengah;Kabupaten Magelang;Pakis;Kaponan;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32662;Jawa Timur;Kabupaten Malang;Pakis;Kedungrejo;65154;33000;TVhHMjAzMTU=;PAKIS,KEPANJEN
32663;Jawa Tengah;Kabupaten Magelang;Pakis;Kenalan;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32664;Jawa Tengah;Kabupaten Magelang;Pakis;Ketundan;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32665;Jawa Tengah;Kabupaten Magelang;Pakis;Kragilan;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32666;Jawa Tengah;Kabupaten Magelang;Pakis;Losari;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
32667;Jawa Timur;Kabupaten Malang;Pakis;Mangliawan;65154;33000;TVhHMjAzMTU=;PAKIS,KEPANJEN
32668;Jawa Tengah;Kabupaten Magelang;Pakis;Muneng;56193;20000;TUdMMTA1MDk=;PAKIS,MAGELANG
